store_id,item_id,date,qty_sold,on_promo
1,1,2023-01-01,28,0
1,1,2023-01-02,28,0
1,1,2023-01-03,21,0
1,1,2023-01-04,25,0
1,1,2023-01-05,27,0
1,1,2023-01-06,21,0
1,1,2023-01-07,31,0
1,1,2023-01-08,29,0
1,1,2023-01-09,27,0
1,1,2023-01-10,35,1
1,1,2023-01-11,31,0
1,1,2023-01-12,25,0
1,1,2023-01-13,15,0
1,1,2023-01-14,36,0
1,1,2023-01-15,35,0
1,1,2023-01-16,33,1
1,1,2023-01-17,24,0
1,1,2023-01-18,20,0
1,1,2023-01-19,19,0
1,1,2023-01-20,24,0
1,1,2023-01-21,30,0
1,1,2023-01-22,52,1
1,1,2023-01-23,21,0
1,1,2023-01-24,31,0
1,1,2023-01-25,27,0
1,1,2023-01-26,47,1
1,1,2023-01-27,18,0
1,1,2023-01-28,34,0
1,1,2023-01-29,30,0
1,1,2023-01-30,24,0
1,1,2023-01-31,30,0
1,1,2023-02-01,42,1
1,1,2023-02-02,42,1
1,1,2023-02-03,27,0
1,1,2023-02-04,29,0
1,1,2023-02-05,27,0
1,1,2023-02-06,18,0
1,1,2023-02-07,29,0
1,1,2023-02-08,21,0
1,1,2023-02-09,29,0
1,1,2023-02-10,22,0
1,1,2023-02-11,32,0
1,1,2023-02-12,30,0
1,1,2023-02-13,30,0
1,1,2023-02-14,27,0
1,1,2023-02-15,20,0
1,1,2023-02-16,26,0
1,1,2023-02-17,42,1
1,1,2023-02-18,23,0
1,1,2023-02-19,35,0
1,1,2023-02-20,36,1
1,1,2023-02-21,19,0
1,1,2023-02-22,37,1
1,1,2023-02-23,21,0
1,1,2023-02-24,19,0
1,1,2023-02-25,26,0
1,1,2023-02-26,40,0
1,1,2023-02-27,25,0
1,1,2023-02-28,23,0
1,1,2023-03-01,23,0
1,1,2023-03-02,25,0
1,1,2023-03-03,25,0
1,1,2023-03-04,43,1
1,1,2023-03-05,33,0
1,1,2023-03-06,25,0
1,1,2023-03-07,27,0
1,1,2023-03-08,33,0
1,1,2023-03-09,31,0
1,1,2023-03-10,36,0
1,1,2023-03-11,37,0
1,1,2023-03-12,34,0
1,1,2023-03-13,35,1
1,1,2023-03-14,32,0
1,1,2023-03-15,24,0
1,1,2023-03-16,48,1
1,1,2023-03-17,26,0
1,1,2023-03-18,50,1
1,1,2023-03-19,26,0
1,1,2023-03-20,41,1
1,1,2023-03-21,13,0
1,1,2023-03-22,21,0
1,1,2023-03-23,29,0
1,1,2023-03-24,35,1
1,1,2023-03-25,28,0
1,1,2023-03-26,47,1
1,1,2023-03-27,28,0
1,1,2023-03-28,43,1
1,1,2023-03-29,33,1
1,1,2023-03-30,43,1
1,1,2023-03-31,37,1
1,1,2023-04-01,34,0
1,1,2023-04-02,36,0
1,1,2023-04-03,21,0
1,1,2023-04-04,20,0
1,1,2023-04-05,25,0
1,1,2023-04-06,24,0
1,1,2023-04-07,30,0
1,1,2023-04-08,35,0
1,1,2023-04-09,42,0
